"PRODUCT","DRAW NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4"
"DGRD",131,"2018-01-18",13,61,77,89
"DGRD",132,"2018-01-22",11,26,32,85
"DGRD",133,"2018-01-25",16,31,67,76
"DGRD",134,"2018-01-29",10,57,59,79
"DGRD",135,"2018-02-01",5,38,68,85
"DGRD",136,"2018-02-05",66,67,73,76
"DGRD",137,"2018-02-08",11,69,79,91
"DGRD",138,"2018-02-12",9,11,12,74
"DGRD",139,"2018-02-15",52,90,92,94
"DGRD",140,"2018-02-19",5,11,30,41
"DGRD",141,"2018-02-22",16,58,62,73
"DGRD",142,"2018-02-26",14,16,40,58
"DGRD",143,"2018-03-01",4,31,52,62
"DGRD",144,"2018-03-05",3,30,39,42
"DGRD",145,"2018-03-08",33,64,67,73
"DGRD",146,"2018-03-12",13,17,39,55
"DGRD",147,"2018-03-15",70,77,80,98
"DGRD",148,"2018-03-19",16,44,74,77
"DGRD",149,"2018-03-22",43,51,78,83
"DGRD",150,"2018-03-26",10,14,65,72
"DGRD",151,"2018-03-29",11,71,87,97
"DGRD",152,"2018-04-02",32,36,52,65
"DGRD",153,"2018-04-05",52,65,75,85
"DGRD",154,"2018-04-09",34,46,67,76
"DGRD",155,"2018-04-12",42,57,73,85
"DGRD",156,"2018-04-16",2,41,69,80
"DGRD",157,"2018-04-19",19,26,38,45
"DGRD",158,"2018-04-23",10,27,56,57
"DGRD",159,"2018-04-26",9,27,63,96
"DGRD",160,"2018-04-30",8,16,23,62
"DGRD",161,"2018-05-03",6,85,87,91
"DGRD",162,"2018-05-07",4,50,55,56
"DGRD",163,"2018-05-10",23,51,53,89
"DGRD",164,"2018-05-14",16,30,39,57
"DGRD",165,"2018-05-17",11,14,78,85
"DGRD",166,"2018-05-21",7,56,71,96
"DGRD",167,"2018-05-24",25,35,78,92
"DGRD",168,"2018-05-28",4,20,36,57
"DGRD",169,"2018-05-31",1,63,94,95
"DGRD",170,"2018-06-04",4,57,59,83
"DGRD",171,"2018-06-07",40,44,64,68
"DGRD",172,"2018-06-11",22,59,78,87
"DGRD",173,"2018-06-14",7,17,56,90
"DGRD",174,"2018-06-18",2,20,74,83
"DGRD",175,"2018-06-21",26,29,47,73
"DGRD",176,"2018-06-25",2,64,67,99
"DGRD",177,"2018-06-28",9,20,36,51
"DGRD",178,"2018-07-02",15,19,59,73
"DGRD",179,"2018-07-05",1,2,30,42
"DGRD",180,"2018-07-09",9,43,45,70
"DGRD",181,"2018-07-12",3,58,81,83
"DGRD",182,"2018-07-16",11,50,84,85
"DGRD",183,"2018-07-19",14,24,37,55
"DGRD",184,"2018-07-23",40,55,68,75
"DGRD",185,"2018-07-26",6,45,54,83
